post_number,post_id,datetime,user,text
20,18449953,08/06/2011 13:04,Pudknocker71,a http wiki answers Q Which country in the world is the largest producer of beef cattle target blank http wiki answers Q Which coun of beef cattle a
21,18449960,08/06/2011 13:05,init4fun,"smilies smile gif 0 Smilie Hi Pete , smilies wink gif 0 Wink Honestly , , although ive joked a bit about it , im really not sure what to beleive Just as I can easily see that the earth's environment is a closed ecosystem , and everything we burn stays here in the atmosphere , I can also see the arguement that things like forest fires and volcanos have been putting fumes into the atmosphere for years , are our emissions really as bad as a major volcano , and is there direct study evidence of such smilies frown gif 0 Frown I just hate to see such an important question become a political football , and for people to profiteer from it when the studys , and science , are still so relativly new An Honest assessment is called for , , , and the politicans and hucksters have no place in honesty"
22,18450052,08/06/2011 13:13,Colt SAA,"I couldnt in good faith vote for any of the options because all of them make a person admit that global warming is actually real, which it isnt"
23,18450314,08/06/2011 13:38,Victory Pete,If that is you opinion I am glad you didnt vote VP BTW how is your weather today
24,18450458,08/06/2011 13:53,daddiozz,"Global warming is real The fact that we continue to wake up each morning to an atmosphere that hasn't frozen over ,overnight is a testament of that"
25,18450606,08/06/2011 14:09,Park_Flyer,I'll bet this poll never crossed your mind back in January
26,18450626,08/06/2011 14:11,Big Foot 48,"18450626 Kill a camel and stop global warming 20px 5px 2px Quote 5 0 0 100 alt2 1px Killing a camel to earn a carbon credit may seem a curious way to tackle climate change, but one country is poised to allow investors to do precisely that The camel culling plan is one of the first to arise under the Australian government new carbon farming initiative , a scheme that lets farmers or investors claim carbon credits if they can show they have cut greenhouse gas emissions Such emissions are plentiful in Australia desert centre thanks to the region large population of feral camels, a legacy of the herds introduced in the 19th century to help settle the continent interior More than 1m camels are now believed to be roaming across the Australian outback one of the biggest camel populations in the world and each emits methane, a greenhouse gas significantly more potent than carbon dioxide a http ft cms 0 6e633ac8 9126 11e0 9668 00144feab49a html axzz1OiHiNj8K target blank http ft cms 0 6e633ac8 9 axzz1OiHiNj8K a"
27,18450652,08/06/2011 14:13,Victory Pete,It crosses my mind every day This winter was the coldest I remember We got slammed with snow in the NE And yes Global Warming does make for drastic extreme weather patterns It was 19 degrees F in Texas this past winter Earths climate is in chaos VP
28,18450713,08/06/2011 14:21,rcairflr,"I cannot confirm whether mankind is contributing to global warming or not Whatever I say would only be opinion based on what I've read and who to believe So my opinion means absolutely nothing I do know, based on history that mankind has flourished during warm weather periods and have declined during cold weather periods Well mankinds population is flourishing today Whether I believe we are contributing to global warming or not, does not change my opinion on pollution We as mankind should attempt to reduce the amount of pollution in air, land, rivers, lakes and oceans But I don't believe we should do it in such a way as seriously affecting the economy or let governments steal more money from us I also do not think that global warming is having any lasting effect on the earth or mankind and some are making a bigger deal of it than it is When the next Ice age shows up, then we will really be hearing some whining and people would be praying for global warming"
29,18450724,08/06/2011 14:21,debogus,Pfffffft Self important social engineers cause more chaos
30,18450739,08/06/2011 14:23,Big Foot 48,"I think all that indicates is a human recency bias You'd really have to have long term weather statistics to know if this past winter was unique, or demonstrated a trend, or was just one of a 100 other winters in the last 200 years in America that were exactly like it BTW, I prefer warming to those ice age alternatives that covered a major portion of the US with glaciers I'd hate to have my friends great great great grandchildren having to move to Brazil to escape from them I'd rather have them vacation in the Arctic National Wildlife Reserve for some cool summer weather"
31,18450750,08/06/2011 14:26,Park_Flyer,The earth's climate is in chaos because it was 19 in Texas I'm pretty sure that it has been much colder than that before in Texas You know what else makes drastic extreme weather patterns WEATHER smilies tongue gif 0 Stick Out Tongue
32,18450752,08/06/2011 14:26,FrankC,"Please remember the Little Ice Age Please remember that a long time ago grapes were grown for wine in England, that the Vikings had settlements in Greenland and Iceland WHEN was normal WHO gets to decide what the normal climate is"
33,18450837,08/06/2011 14:35,Victory Pete,"No, that is just one example, What about the polar ice caps melting and sea level rising Polar bears will be homeless soon VP"
34,18450851,08/06/2011 14:37,Victory Pete,Is burning a staggering amount fossil fuels that took millions and millions of years to be produced all in one century normal VP
35,18450856,08/06/2011 14:38,schrederman,"It's made Al Baby Gore VERY wealthy I'll say if he could have caused it, he would have"
36,18450881,08/06/2011 14:40,Victory Pete,"Yes I know, he is a hypocritical politican More scientists should be in government VP"
37,18450893,08/06/2011 14:42,n00b-E,And fewer charlatans should be in science
38,18450911,08/06/2011 14:43,FrankC,
39,18450920,08/06/2011 14:44,Jim Thomerson,Suggests that present carbon release rates are very high
40,18450922,08/06/2011 14:44,Griffin,"And millions of other fish and birds will thrive with newly opened ocean Welcome to the wild and wacky world of living on a dynamic planet which is always changing The weather events recently are insignificant compared to some earlier in the last century, and in the 1800's Or the little ice age, or you get the idea I hope we continue to study fossil fuel emissions and their impact, but we have a long ways to go before they can be positively linked to change And then we can consider crippling our economies, reducing our quality of life and increasing starvation and suffering in poor countries by eliminating the fuel of modernity I vote for going ahead and letting a little warming occur instead Steve"
41,18450963,08/06/2011 14:49,Colt SAA,"Global warming is NOT real, Natural weather cycles ARE real"
42,18451027,08/06/2011 14:56,Pudknocker71,a http infoplease ipa A0113527 html target blank http infoplease ipa A0113527 html a Some damn cold temps recorded
43,18451082,08/06/2011 15:01,mikefast,"Exactly Who is to say what the right temperature is to be Like in the little ice age , or when the settlements were in Greenland Or just the temperature we had yesterday or last year I think it is pretty obvious that a certain temperature isn't the goal, the goal is total control of the individual I, for one, don't want the Govt to control every aspect of my life, I think I can do pretty well for myself without the Govt trying to tell me how I'm supposed to live"
44,18451115,08/06/2011 15:05,Victory Pete,You seem to want a lot I want a planet that is not such a mess I realize I have to make some sacrifices VP
45,18451122,08/06/2011 15:05,Victory Pete,Do you recycle VP
46,18451152,08/06/2011 15:09,Victory Pete,"Well, we are running out of the fossil fuels anyway, so when it is too late stubborn earthings will be forced to adopt a greener energy source regardless of their own self indulgent beliefs VP"
47,18451159,08/06/2011 15:10,daddiozz,"funny every time i go outside in the daylight ,especially on days like today 91 degrees I'm reminded of that great big gaseous object 93 million miles away with its massive amounts of solar radiation heating up everything it touches here on this lttle globe we call Earth must be something else keeping us all warm and toasty smilies rolleyes gif 0 Roll Eyes Sarcastic"
48,18451181,08/06/2011 15:12,n00b-E,"Yeah, it's all the hot air from the neophytes who, because of some wind, claim that everyone else needs to change to their line of thinking"
49,18451189,08/06/2011 15:13,Victory Pete,Yes the CO2 is a major factor in how much solar radiation is gained or lost It is a fragile balance that got screwed up by man VP
50,18451262,08/06/2011 15:22,RumRunner_1492,There have always been extremes and always will be It is a cycle the earth goes through It was happening long before fossil fuels were being used Do you think some native american indians were blaming the climate shifts on people using up too much flint to make arrow heads
51,18451289,08/06/2011 15:26,RumRunner_1492,I'm doing my best to help global warming by eating as many cows as I can smilies biggrin gif 0 Big Grin
52,18451293,08/06/2011 15:26,daddiozz,you really believe that a few billion people make a significant difference to the climate of this planet compared to the few trillion other life forms on this planet all of which is taking place on slightly more than 30 of the total surface area of this planet that in turn is constantly being bombarded by energy from the sun get real
53,18451296,08/06/2011 15:27,Victory Pete,You have got to be joking VP
54,18451307,08/06/2011 15:28,Victory Pete,"It seems funny that the naysayers are the most vocal here, I guess people can convince themselves of anything that is convenient and suits themselves VP"
55,18451314,08/06/2011 15:29,RumRunner_1492,You're kidding right The polar bear populations have been on the rise They are not homeless nor are they anywhere close to being homeless What about the expanding glaciers that continue to grow in this global warming
56,18451327,08/06/2011 15:31,RumRunner_1492,"You realize that statement can be applied to all sides of this issue, right"
57,18451332,08/06/2011 15:31,Victory Pete,Yes The anount of CO2 released in the last century is astronomical VP VP
58,18451353,08/06/2011 15:34,madsci_guy,"Let's throw some real numbers at the problem ncodeimage resized http upload wikimedia org wikipedia commons thumb 5 51 Mauna Loa Carbon Dioxide en svg 800px Mauna Loa Carbon Dioxide en svg png h deUqmPf9zML2wlKBtdnivA 0 onload NcodeImageResizer createOn this So, from 1960 to the present, the CO2 level has jumped roughly 70 parts per million PPM Do you really believe that such a small percentage change in CO2, u one of the the b least b efficient greenhouse gases u , brings about the warming we see"
59,18451361,08/06/2011 15:35,daddiozz,the same could be said for your argument as well
60,18451379,08/06/2011 15:36,Victory Pete,"No, because I seem to be mostly the one replying, it is my thread but the naysayers seem to have an agenda VP"
61,18451407,08/06/2011 15:39,Victory Pete,Where did you get that information VP
62,18451416,08/06/2011 15:40,BE77 Pilot,I really don't know if there is or if there is not GW I don't trust any of the sources reporting the condition of our planet
63,18451430,08/06/2011 15:41,daddiozz,"you are correct we do have an agenda that being that we know that we are right and you are wrong smilies biggrin gif 0 Big Grin BTW you don't own this thread,you merely began the discussion"
64,18451452,08/06/2011 15:44,RumRunner_1492,So do you You have aready said you believe this was created by man The reality is that fewer and fewer people belive that every year Most people believe in change but the trend is moving towards that is a natural occurance and not man made A large portion also believes the government makes a bigger deal out of it than it really is I was in one of the largest tornados in the history of the US in 1974 2 years later that same city was crushed by a massive blizzard It wasn't because of fossil fuels It was just the cycle of the planet
65,18451460,08/06/2011 15:45,Victory Pete,"My point exactly BTW you dont own the earth either It owns you, not now, but in your grave VP"
66,18451485,08/06/2011 15:48,daddiozz,"nahhh i've made arrangements to have my cremains scattered on the moon ,when ever one of the grandchildren visit there smilies wink gif 0 Wink"
67,18451488,08/06/2011 15:48,madsci_guy,Is Rev back
68,18451506,08/06/2011 15:50,Eljimb0,Make no mistake we do own this earth
69,18451538,08/06/2011 15:54,Victory Pete,"This is scary, I had an idea that some people really were arrogant, selfish and self serving, but this is really un nerving I see the state of this planet just getting worse with this kind of mentality VP"
70,18451615,08/06/2011 16:01,Eljimb0,"You are certainly free to abrogate your responsibility for your share of this mass I prefer to keep mine Pardon me, I have some insects to kill"
71,18451636,08/06/2011 16:03,DT56,"You could give up RC models Or think of the energy consumed with this thread, in which you ask for other opinions, even though your mind was apparently set on the subject The true green choice would be to never waste energy on nonessential activity"
72,18451653,08/06/2011 16:05,CheeseWing,
73,18451712,08/06/2011 16:11,PilotKeeg,There is no disputing that sea levels are rising and that the poles are melting This is proof of global warming
74,18451765,08/06/2011 16:18,Eljimb0,"I was just at the edge of the sea, It is just like last year You are being lied to by people who want your money Dispute this"
75,18451805,08/06/2011 16:22,daddiozz,man made or naturally occuring formations if man made whats it doing 30 ft below the sea did mankind thru his shortsightedness create a global warming scenario 2000 years ago too
76,18451807,08/06/2011 16:22,beenflying,It's total BS A single volcanic eruption can produce more carbon dioxide than we could produce in 10 years
77,18451845,08/06/2011 16:27,PilotKeeg,ROFL
78,18451850,08/06/2011 16:28,Park_Flyer,"Psst The sea levels rising thingy has been debunked What is going to make the sea level rise, all the ice that is already in the sea Here's an experiment Fill a glass with ice and water and wait for the ice to melt See if the glass overfills I just love the The polar bears daddy commercial"
79,18451869,08/06/2011 16:30,PilotKeeg,I have actually seen studies that show that sea level is rising Just at the same rate it has been for the last 1000 years
80,18451922,08/06/2011 16:36,shawnc,"Some people are just dumb They'll dispute that the sky is blue on a sunny, cloudless, clear day, on earth just because they don't like who's telling them I've given up arguing with the ignoratti about drop dead obvious, hundreds of times reproduced, from every direction till Sunday, science If Foxaganda tells them the climate is fine, they'll happily boil away like the frog in the pot I'll conserve where I can, change what I can, vote my conscience I don't have the money to campaign against the Koch brothers, so it's the best I can do If the fools wreck the place, I figure my kids are smarter than their kids, and will stand a better chance of surviving Shawn"
81,18451951,08/06/2011 16:39,PilotKeeg,Did you umm see my Or are you just conveniently ignoring it
82,18452022,08/06/2011 16:46,Park_Flyer,"Yeah, of course the poles are melting it's spring, this winter they'll freeze again How about the warmists explain where all the extra water is going to come from to raise the sea levels"
83,18452054,08/06/2011 16:50,RumRunner_1492,From experts on the subject The polar bears have been booming and have tripled in numbers since the 1980's The global warming believers have lied to the public about this story because it looks cute and makes a nice poster Polar bears thriving and increasing in numbers a http nationalpost news story html 1ea8233f 14da 4a44 b839 b71a9e5df868 target blank http nationalpost news sto 9 b71a9e5df868 a a http newsbusters org node 12694 target blank http newsbusters org node 12694 a
84,18452060,08/06/2011 16:51,Looooeeee!,"There are a couple continents that have nearly half to mile deep snow and ice layers, and Greenland has been having record levels of summer melting"
85,18452138,08/06/2011 16:58,rick.benjamin,"Global warming bogosity I thought of that too, then I voted for door 3 My garden likes it Then, the dark comes Our cats like the dark Mice skitter through the garden Cats attack When the sun rises, cats slumber Carbon credits Didn't exist until Al Gore Global cooling, little ice age, 1775 maunder minimum England archaeologists discovering pre historical villages 35 feet below surface of the english channel El Jimbo living on the side of a hill, which was once a beach Tarsus, Turkey, 75AD, was once a thriving Roman seaport, now a couple miles from the Med surf Global warming is real, but the alleged science about it is bogus"
86,18452184,08/06/2011 17:03,Victory Pete,I didnt start this thread to form an opinion I try to be green as much as possible Last year I traded in my gas guzzling Dodge Van for a Ford Transit Connect went from 10 mpg to 25 mpg VP
87,18452201,08/06/2011 17:07,Victory Pete,"BTW, there is a whole other hemishere which is going into Winter The water to raise the sea levels comes from the melting artic and antarctic VP"
88,18452227,08/06/2011 17:10,Victory Pete,"Quoted from the last paragraph of your link Of course, tracking polar bear populations is an inexact science They roam about, which lends itself to double counting, and they're not easy to identify from any distance Besides, polar bears do live on ice and satellite photos show the sea ice is down 7 7 in the last decade So something is happening up there What is the National Post anyways VP"
89,18452249,08/06/2011 17:14,daddiozz,"i though about getting one of those to replace my aging gas guzzler ,but went with an F450 instead go figure huh"
90,18452284,08/06/2011 17:20,PilotKeeg,Actually you are wrong Antarctica contains the vast majority of frozen water on earth umm and sources How am I supposed to believe someone who does not back up their claims I can go back up the above claim if you really want me to smilies smile gif 0 Smilie
91,18452308,08/06/2011 17:22,PilotKeeg,What hipocrisy It would have been greener for you to continue driving your original car and not bought another car
92,18452314,08/06/2011 17:23,Victory Pete,It wont be frozen for long VP a http washingtonpost wp dyn article 2006 03 02 AR2006030201712 html target blank http washingtonpost wp dyn 030201712 html a
93,18452331,08/06/2011 17:25,Victory Pete,How do you rationalize an irrational statememt like that I am burning 2 5 times less fuel VP
94,18452386,08/06/2011 17:33,DT56,"For the big picture, one has to consider all of the energy required to design, produce and deliver the new vehicle Breaking news, proof of global warming has been uncovered"
95,18452391,08/06/2011 17:33,madsci_guy,"Of course this is dated by now, it's no longer the worst on record, but the point is obvious, Big tornados are u not u a sign of global warming u b They happen every now and then anyway b u"
96,18452395,08/06/2011 17:34,RumRunner_1492,"You believe in global warming but you don't believe groups that are tracking polar bears Global warming is the very definition of an unexact science Lets say the polar bear counters are off by a few perecentage points, heck even 25 There has been a 300 population increase since the 80's The lacals have said the polar bears have been thriving for years The facts do not support your claim Here is more on the polar bears Do you remember the picture of the 2 bears on the melting ice Al Gore and others used that pic to describe polar bears dying because of global warming Did you know the photagrapher came clean and said the was a lie The bears were close to shore and in no danger at all a http telegraph co uk comment columnists christopherbooker 5664069 Polar bear expert barred by global warmists html target blank http telegraph co uk comment c warmists html a"
97,18452411,08/06/2011 17:36,Victory Pete,Oh so we should all keep our gas guzzlers to save energy That is ridiculous VP
98,18452430,08/06/2011 17:39,PilotKeeg,Umm did you see my earlier a showpost p 18451845 postcount 77 target blank a I see an increase not sure about you though
99,18452462,08/06/2011 17:42,Victory Pete,This has become tiring No wonder this planet is in such a mess The majority of its habitants dont seem to care I would like to give thanks to the brave silent minority VP P S The meek shall inherit the earth not destroy it
100,18452469,08/06/2011 17:43,PilotKeeg,minority
101,18452476,08/06/2011 17:43,shawnc,"Yeah, you said no disputing and I said in effect sure they'll dispute it, just to argue Did I miss something Shawn"
102,18452490,08/06/2011 17:45,PilotKeeg,"Yes, I was being sarcastic and disputed the claim in my next with tons of evidence against the fact that antarctic ice was melting"
103,18452499,08/06/2011 17:47,shawnc,Sarcasm doesn't travel well smilies smile gif 0 Smilie Shawn
104,18452520,08/06/2011 17:49,RumRunner_1492,"Just because I think global warming is a bunch of propoganda and a pile of crap doesn't mean I don't care I simply make changes in my life because I choose to, not because some group with an agenda tells me to I recycle, buy energy efficient items and put new windows in my house to save energy I primarily do these things to save me money and cut down on the amount of trash going to land fills"
105,18452524,08/06/2011 17:49,Victory Pete,As I was editing my I wondered how fast someone would be correcting and gloating You are the fastest reprimander VP
106,18452544,08/06/2011 17:51,Victory Pete,"Well thats good, you are inadvertantly helping the Global Warming issue by being cheap VP"
107,18452555,08/06/2011 17:53,PilotKeeg,I take pride in demolishing other peoples trains of thought
108,18452620,08/06/2011 18:02,shawnc,"Now I see it, I may have hit reply gone off to get a snack then your next showed up Not to argue smilies wink gif 0 Wink but you might look at the evidence of North Polar sea ice extent from the same web site a http arctic atmos uiuc edu cryosphere IMAGES sea ice anomaly timeseries jpg target blank http arctic atmos uiuc edu cryosph timeseries jpg a In addition, there is ample data that shows that despite South Pole sea ice area remaining about the same, the ice on Antarctica is thinning From this site a http nasa gov topics earth features 20100108 Is Antarctica Melting html target blank http nasa gov topics earth fea a Melting html a Gravity data collected from space using NASA's Grace satellite show that Antarctica has been losing more than a hundred cubic kilometers 24 cubic miles of ice each year since 2002 Shawn"
109,18452635,08/06/2011 18:05,MtnGoat,"I voted not sure since though I do not believe this is the case, I am as unable to assert a testable notion that manmade CO2 is not a cause, as my opponents are to assert that it factually is"
110,18452644,08/06/2011 18:07,DT56,Is that the same NASA that has trouble measuring the ice on shuttle external tanks from a few feet
111,18452694,08/06/2011 18:15,PilotKeeg,gravity data w f
112,18452699,08/06/2011 18:16,PilotKeeg,"by the way, the calving of ice bergs is a sign of a growing glacier"
113,18452714,08/06/2011 18:18,Victory Pete,Do you have Train of thought envy VP
114,18452763,08/06/2011 18:27,shawnc,Read the article
115,18452953,08/06/2011 18:53,rick.benjamin,"My '79 Ford F250 Supercab 460 is paid for It tows my boat, hauls up to 3000 lbs as needed My git around car is a '94 Honda Passport, also paid for Hauls my three big methane producing dogs Not very good gas mileage, but I don't drive so much Spend time at home, now that I'm retired BTW, my home is paid for I am completely debt free Did it the hard way, one nickel at a time Whenever I see b we should all b in someone's statement, I start suspecting that someone is sneaking up on my wallet Whenever I hear the phrase b going green b I visualize either demented zombies, or fresh Marine Corps recruits standing on painted yellow footprints So, you first Pay your debts, close your credit cards Save for a rainy day Be the example Stir the pot less Read your bible You mis quoted Matthew 5 5 a http topical bible studies org 45 0002 htm target blank http topical bible studies org 45 0002 htm a a http christianlibrary org authors Grady Scott matt5 5 htm target blank http christianlibrary org auth tt matt5 5 htm a"
116,18453444,08/06/2011 20:00,lymon,"I'd like to acknowledge the smallish group, including myself, who may lean one way or the other, but chose not sure 15 79 of us The rest of you are smug"
117,18453456,08/06/2011 20:01,Heydick,"4200 years ago a drought covered parts of Africa, Asia, and Europe The drought lasted about 200 years and caused the Nile to almost dry up, ancient Egypt was effected the most The most telling part about this story is that the same global climatologists that are saying that the earth is warming because of the burning of fossil fuels knew nothing about this until recently Must have been hard for the Pharaoh to give up his SUV and Temple AC"
118,18453553,08/06/2011 20:14,shawnc,"So I'm smug because I've read many articles over 30 years, and I'm convinced I think if someone didn't have an opinion one way or another after all that, that they'd be pretty stupid Shawn"
119,18453724,08/06/2011 20:39,Treetop,"You cannot make that claim without evidence of the emissions levels of his dodge van, among other factors Whether the year model was old enough to have only minimal pollution control equipment, or could have been faulty as well, and burning oil, it also depends on whether he lives in a high population area Environmental choices are not black and white, for instance, whether using cloth diapers or disposable are often dependent on where you live, due to the factors of the negative effects of each"
120,18453834,08/06/2011 20:52,Treetop,"I am going to answer yes, on the poll, but with the caveat that it is only one part of the issue While Atlanta has been in a heat wave, and one of the weather features that is difficult to find, setting records for the highest low temperature on a date has been happening recently, but I have not been able to find statistics on that other than the random mentioning of it But here, we have created a huge heat island that contributes to that, and actually does change the weather here There are videos of radar showing lines of storms actually splitting and reconnected after passing over the metro area We had three significant snowfalls in the first year I lived in this house, and it snowed on Christmas for the first time on record We just got over a several year drought, where I couldn't wash my car at home The tornado season is record setting for the south But all of this is not significant scientifically, with the exception of the heat island, and is not particularly out of character for events that might happen only in such intensity over a period of decades The tornados were in known tornado areas, and really were not a new pattern, if they continue in a new pattern, rather than every five or six decades in the same number and intensity, I would consider that a significant feature The fact that there are complex issues, sequestered carbon which can be released because of manmade issues, and special interests in not addressing the concerns scientists have about global warming, we will continue, I am afraid, until it is obviously changing the weather, at which point, we will be beyond fixing it, or attempting to prevent a triggering of a tipping point for a massive release of carbon from now sequestered areas"
121,18453919,08/06/2011 21:03,init4fun,"smilies smile gif 0 Smilie Um, , , Thanks , , I think Yea , Im the first brave soul who voted that I havnt a clue one way or the other And I'd also like to see some real data before whole industrys selling solutions to this not yet proven problem become so politically entrenched that we never get rid of em Oh , And also , , The rest of them arent smug , , theyve just got the opinions theyve formed from what info they had I havnt seen any 100 smoking gun info so as to a position either way , , , and so im keepin my options open smilies cool gif 0 Cool"
122,18453955,08/06/2011 21:06,Gooroo,"There is not enough info to tell but in reality it doesn't matter The same thing that happens to other species that overpopulate their environment will happen to humans, too Unfortunatly, the earth can probably support 40 billion or more at a subsistance level before some climatic event, metoer, asteroid, sunspots significantly culls the population"
123,18454034,08/06/2011 21:16,DT56,You should see the 2012 model swimsuit I hear it consists of three dabs of paint
124,18454039,08/06/2011 21:17,curly56,"I voted not sure, but I do think we have had some impact in the short time we've existed I just don't think it really matters to the earth possibly, it can impact how long we last as a species, but in the long run, we're nothing more than a pimple on the earth's ass One good massive phenomenon, like a chain of volcanic eruptions or a giant meteor strike or the like, and we're history"
125,18454207,08/06/2011 21:37,DT56,"1 Seven billion people can all fit in the state of Texas, each with their own thirty foot by thirty foot plot of land We don't have a population problem in the world, we have a proximity problem I think some of the smallest known things bacteria or virus will be more likely candidates to cause the demise of the human population"
126,18454273,08/06/2011 21:46,init4fun,"smilies eek gif 0 EEK I think you may be right on this one Every year , there seem to be more and more outbreaks of nasty little germs in the world , , Like the Ecoli thats sickening people in Germany right now So far , we seem to keep beating back the germs but one of these times the bugs will get ahead of us , , , and then we'll be wishin for something as minor as Global Warming smilies eek gif 0 EEK"
127,18454419,08/06/2011 22:07,CheeseWing,"LOL VP, you cannot be serious"
128,18454461,08/06/2011 22:11,Eljimb0,
129,18454677,08/06/2011 22:42,shawnc,Joan Baez has always given me the creeps Shawn
130,18454714,08/06/2011 22:49,dLdV,"The water is already there, in part Note that water becomes less dense below u and above u 4 C A neat trick That is in addition to land borne ice melting a http physchem kfunigraz ac at sm Service Water H2Odens htm target blank http physchem kfunigraz ac at sm S er H2Odens htm a"
131,18455540,09/06/2011 1:58,debogus,"My 18 yr old ranger gets 22 to 28 mpg Its life has been extend with recycled motor and tranny What in the modern line up of a replacement for and how many yrs would would it take to offset the creation of and any efficiency over my current vehicle Then how many yrs for any fuel savings to pay off , then the wrench is when will the eco nazis get their way and get fuel priced so freaken high to force everyone to electric, peddle or the bus When this motor is used up ,common sense is get another from the junkyard Not a prius oh thank you too mr prez for the gov motors union bailout and the clunker program to technically waste more resources and cause even more emissions ya dimwit"
132,18455943,09/06/2011 4:34,Victory Pete,Good point VP
